Fon,French,polarity
abă,bras,0
abĭ,ou bien,0
abí,ou bien,0
abi,n'est-ce pas,0
abí,n'est ce pas,0
ablă,galette haricots,0
ablŏ,maïs,0
ablóò,maïs fermenté,0
ablù,obscurité,0
abɔhàn,bière,0
abɔkún,graine,0
abɔkwín,graine,0
abɔyiya,récolte,0
abɛsánwùn,bénédiction du sacrement,1
acakpòdji,cercle de discussion,0
acéjí,le quivive,0
acíayŏ,menthe,0
acídikwín,balisier,0
acídikwínma,balisier,0
acídikwíntín,balisier,0
acívi,cuillère,0
acúglὲnzĭn,cricétome,0
acúkpá,perroquet,0
acuta,friperie,0
acɔcì,langouste,0
acɔnkwín,c'est bien fait,1
acɔnkwín,tant pis,0
acɔyíbì,uniforme,0
acɛgbè,autorité,0
acɛgbigbà,faute,-1
acɛgbigbà,péché,-1
acɛkpikpà,règne,0
acɛkpikpà,pouvoir,0
adadò,latrines,0
adagbigbò,circoncision,0
adagli,largeur,0
adaká,méchanceté extrême,-1
adăn,colère,-1
adăn,fureur,-1
adàngbómɛ,malheur,-1
adàngbómɛ,détresse,-1
adánmácyó,félicitations,1
adánmácyó,remerciements,1
adànwìwá,grondements,-1
adawé,bambou,0
adawetín,bambou,0
adaɖé,moitié,0
adiì,mais,0
adiì,mais hélas,0
adimáxwé,criquet,0
adimúlà,très,0
adĭnbèsé,grenouille rainette,0
adingbàn,mensonge,-1
adingbàn,calomnie,0
aditì,géant,0
aditì,impressionnant,1
adlà,monstre,-1
adlà,malheur,-1
adlají,successivement,0
adlokpò,margouillat,0
adò,peur,-1
adodò,résignation,-1
adodwé,authentique,1
adohùhù,peur,-1
adohùhù,effroi,-1
adohùhù,angoisse,-1
adohuhu,inquiétude,-1
adohuhu,angoisse,-1
adohuhu,effroi,-1
adohuhu,peur,-1
adohumɛ,peur,-1
adohumɛ,effroi,-1
adohumɛ,angoisse,-1
adŭn,saleté,-1
adùngbígbò,malpropreté,-1
adùngbígbò,malpropre,-1
adɔgbó,estomac,0
adɔgbugbó,audace,0
adɔgò,ventre,0
adɔkpá,flanc,0
adɔndundɔn,rivalité,0
adɔsúsú,hoquet,-1
adɔzán,natte de nuit,0
afafà,eventail,0
aféfé,couleur bleue,0
afínétì,epingle,0
aflété,brochet,0
afluflwì,chauve-souris,0
afú,brimade,0
afù,aubaine,1
afútámɛ,brimade,0
afyankú,hippotrague,0
afyɔnxocí,amulette,0
afɔdenyidò,faux pas,-1
afɔdò,empreinte,0
afɔdógbè,adultère,-1
afɔfún,poils des jambes,0
afɔgà,enjambée,0
afɔgblăgblă,croc-en-jambe,0
afɔgódwé,chaussette,0
afɔgólì,coude-pied,0
afɔgólì,cheville,0
afɔgúdo,cheville,0
afɔkpà,chaussure,0
afɔkpà,soulier,0
afɔkpà,sandale,0
afɔkpà,pantoufle,0
afɔkpadò,empreinte chaussure,0
afɔkpagàn,eperon,0
afɔkpákpá,semelle,0
afɔkpákpá,plante des pieds,0
afɔkpákpájí,sur la plante des pieds,0
afɔkpasúnsúnnú,brosse à chaussure,0
afɔkpasúnsúnnú,essuie-pieds,0
afɔkú,echec,-1
afɔkú,défaveur,-1
afɔkú,disgrâce,-1
afɔsú,orteil,0
afɔtínxú,péroné,0
afɔtuntè,résistance,0
afɔtuntè,décision,0
afɔví,orteil,0
afɔɖiɖè,enjambée,0
afɔɖiɖè,pas,0
agà,en haut,0
agàlìlè,débauche,-1
agadá,plaie,-1
agadá,prodigue,-1
aganmà,caméléon,0
agàsá,crabe,0
agàságò,crabe,0
agàságò,cadenas,0
agaví,enfant adultérin,-1
agaví,bâtard,-1
agbadé,maïs,0
agbajá,civière,0
agbajá,cartouchière,0
agbají,véranda,0
agbají,cour intérieure,0
agbăkò,malheur,-1
agbăkò,imprévu,0
agbàlyá,fonte,0
agbàlyákwín,boulet,0
agbàn,bagage,0
agbàn,colis,0
agbàn,fardeau,-1
agbàn,affaires,0
agbàn,marchandise,0
agbàn,matériel,0
agbanhɛnnú,porte-bagages,0
agbanhɛntín,poteau,0
agbanhɛntín,poutre,0
agbanɖuɖù,festin,1
agbanɖuɖù,noce,1
agbasá,véranda,0
agbawungbà,ostensiblement,0
agbawungbà,publiquement,0
agbayikún,graine maïs,0
agbáɖá,boubou,0
agbè,ecureuil,0
agbégì,menuisier,0
agbetawoyó,mer,0
agbetè,hyène,0
agbidì,terre noire,0
agbigbì,sorte nuit,0
agbĭn,sorte escargot,0
agblà,mâchoire,0
agblaká,mâchoire,0
agblò,grande cour,0
agblɔnyinyà,descente,0
agbofún,bélier,0
agbojlakà,galipette,0
agbolàn,viande de mouton,0
agidigbájá,très démesuré,-1
agídígbó,guimbarde,0
aglàn,mâchoire,0
aglanká,mâchoire,0
aglŭzà,porc,0
aglŭzà,cochon,0
aglúzàkpó,porcherie,0
aglúzasá,jambon,0
aglúzasì,truie,0
aglúzasísá,porc castré,0
aglúzasú,verrat,0
aglúzasúkwéɖé,mâle castré,0
aglúzaví,porcelet,0
aglúzàwutó,porcherie,0
aglwí,cuiller bois,0
aglŏbèsé,grenouille,0
agŭ,igname pilée,0
aguduwíì,incompétent,-1
aguduwíì,illettré,-1
agùn,foule,0
agùn,peuple,0
agùn,assemblée,0
agùn,communauté,0
agunglá,tamtam,0
agwĭn,escargot,0
agɔnmà,cocotier,0
agɔntín,rônier,0
ahàn,boisson,0
ahanhunnú,tire-bouchon,0
ahanhunnú,décapsuleur,0
ahanmúmɛ,enivrement,-1
ahanmúmɛ,ivresse,-1
ahannudíngan,ivrognerie,-1
ahannumú,ivresse,-1
ahannuxwé,buvette,0
ahannuxɔsá,buvette,0
ahannuxɔsá,débit boissons,0
ahanviví,boisson sucrée,0
ahizì,manigance,-1
ahizì,manœuvre,1
ahóo,tant pis,0
ahwàn,guerre,-1
ahwàn,armée,0
ahwàn,groupe,0
ahwàn,troupeau,0
ahwanfunfun,guerre,-1
ahwanfunfun,bataille,-1
ahwanfunnú,arme de guerre,0
ahwanfɔkpà,chaussure militaire,0
